Index,Time,GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,H,R,P
45,1459120898,-2.23557,-0.456085,6.1908,-0.0835571,-0.113098,0.98291,0.12978,0.39956,-0.12404,260.929,-7.5062,5.66629
46,1459120899,2.22809,-2.02621,7.14035,-0.09021,-0.134338,1.01709,0.13244,0.42532,-0.16534,260.223,-7.50804,5.60517
47,1459120899,-0.0299072,0.343933,8.44879,-0.125183,-0.174255,1.00415,0.14042,0.40432,-0.16618,259.523,-7.74516,5.75705
48,1459120899,-1.772,-2.15332,6.06369,-0.104492,-0.0744019,0.975525,0.10892,0.37884,-0.17052,258.993,-7.41474,5.79213
49,1459120899,-0.837402,-1.37573,6.29547,-0.0813599,-0.132935,0.971375,0.15596,0.36274,-0.1652,258.295,-7.45182,5.69381
50,1459120899,-0.396271,-0.261688,8.39645,-0.12323,-0.180725,1.00037,0.12194,0.3969,-0.1659,257.761,-7.73496,5.82814
51,1459120900,0.0822449,-0.441132,6.10107,-0.113586,-0.106506,1.02264,0.15932,0.37072,-0.10612,257.102,-7.55168,5.88059
52,1459120900,-3.32718,-1.30844,4.7702,-0.0650635,-0.120667,0.976318,0.17584,0.39186,-0.1666,256.407,-7.50198,5.67786
53,1459120900,1.48041,-2.08603,5.90668,-0.0928955,-0.144226,0.998535,0.1771,0.35686,-0.1673,255.733,-7.57413,5.64142
54,1459120900,0.822449,0.800018,8.00018,-0.140808,-0.17688,1.01141,0.19012,0.35028,-0.16954,255.036,-7.81379,5.87449
55,1459120900,0.336456,-0.328979,6.03378,-0.129761,-0.115845,1.0105,0.18984,0.3703,-0.1743,254.368,-7.68499,6.02113
56,1459120901,-2.51968,-0.665436,5.40573,-0.0751343,-0.124146,0.972839,0.16128,0.34846,-0.16842,253.827,-7.64465,5.86451
57,1459120901,0.381317,-0.822449,8.17215,-0.104675,-0.161194,0.998596,0.17458,0.32606,-0.11508,253.252,-7.79825,5.87651
58,1459120901,-0.0971985,-1.11404,7.45438,-0.126221,-0.117004,1.02332,0.2149,0.33334,-0.12894,252.552,-7.66777,5.99522
59,1459120901,-3.18512,-1.98135,4.05991,-0.0737915,-0.0838013,0.978149,0.1883,0.29974,-0.11214,251.96,-7.39695,5.83051
60,1459120901,-1.09909,-1.78696,7.37213,-0.0753784,-0.136841,0.966064,0.2233,0.32256,-0.13314,251.27,-7.46177,5.69756
61,1459120902,1.65237,-0.299072,8.00018,-0.115906,-0.180298,1.01294,0.22862,0.32074,-0.17962,250.582,-7.7313,5.7822
62,1459120902,-0.792542,-0.807495,6.32538,-0.119385,-0.124146,1.00342,0.22932,0.32872,-0.18172,249.917,-7.66303,5.88344
63,1459120902,-2.96829,-1.85425,6.22818,-0.069397,-0.124634,0.955139,0.19418,0.28126,-0.16842,249.372,-7.64102,5.71743
64,1459120902,0.037384,-2.00378,7.62634,-0.0811157,-0.154663,0.995605,0.23688,0.2884,-0.18522,248.701,-7.76067,5.61125
65,1459120903,-0.358887,1.11404,7.58896,-0.112732,-0.177979,1.00763,0.20566,0.2716,-0.18046,248.143,-7.99071,5.68967
66,1459120903,-0.605621,-1.19629,5.93658,-0.0967407,-0.092041,0.999512,0.24192,0.26838,-0.11914,247.479,-7.71774,5.67346
67,1459120903,-1.81686,-1.36826,6.28052,-0.0687866,-0.141541,0.980347,0.24486,0.2947,-0.17906,246.836,-7.76694,5.50993
68,1459120903,1.65237,-2.8038,7.48428,-0.0898438,-0.139587,0.981934,0.25592,0.27076,-0.11564,246.161,-7.79902,5.48201
69,1459120903,3.67111,0.403748,3.7085,-0.12854,-0.111084,1.05823,0.2499,0.252,-0.17808,245.511,-7.60821,5.63539
70,1459120904,-1.62994,-1.6449,7.39456,-0.0913086,-0.111145,0.995605,0.26082,0.24262,-0.19012,244.836,-7.48499,5.59598
71,1459120904,-1.37573,-1.83929,6.53473,-0.0733643,-0.139282,0.993042,0.23562,0.27202,-0.18648,244.276,-7.53472,5.45979
72,1459120904,-0.426178,-0.777588,7.00577,-0.10498,-0.163574,0.990479,0.22498,0.20496,-0.13664,243.714,-7.7186,5.5185
73,1459120904,1.65237,1.6449,6.63193,-0.137451,-0.107239,1.04443,0.2296,0.23604,-0.19712,243.172,-7.52573,5.72554
74,1459120904,-3.55896,-1.10657,4.17953,-0.0568237,-0.112793,0.950439,0.24038,0.18788,-0.1127,242.571,-7.45356,5.50646
75,1459120905,0.119629,-2.52716,6.36276,-0.0883789,-0.1474,0.974976,0.25074,0.25242,-0.15624,242,-7.56596,5.47442
76,1459120905,-0.575714,0.231781,8.06,-0.120605,-0.177856,0.985413,0.25256,0.24178,-0.19572,241.428,-7.83199,5.62391
